hashtag,category,subcategory,language,estimated_posts,avg_engagement_rate,professional_use
relaxationprofonde,French Wellness,French Terms,fr,261,3.4,False
momentdetente,French Wellness,French Terms,fr,29246,3.3,False
pausebienêtre,French Wellness,French Terms,fr,4102,3.5,False
rituelbienêtre,French Wellness,French Terms,fr,4148,3.9,False
espacespa,French Wellness,French Terms,fr,44,3.9,False
centrebienêtre,French Wellness,French Terms,fr,2650,3.7,False
institutbeauté,French Wellness,French Terms,fr,14721,3.5,False
wellnessroutine,Wellness Lifestyle,Lifestyle Combos,en,2294,3.8,False
holisticroutine,Wellness Lifestyle,Lifestyle Combos,en,2639,3.1,False
healthyroutine,Wellness Lifestyle,Lifestyle Combos,en,659,3.7,False
holisticlife,Wellness Lifestyle,Lifestyle Combos,en,244650,3.0,False
healthylife,Wellness Lifestyle,Lifestyle Combos,en,30560,3.3,False
beautyroutine,Wellness Lifestyle,Lifestyle Combos,en,292685,3.4,False
organicgoals,Wellness Lifestyle,Lifestyle Combos,en,172227,3.5,False
organiclifestyle,Wellness Lifestyle,Lifestyle Combos,en,414123,3.8,False
holisticliving,Wellness Lifestyle,Lifestyle Combos,en,3324,3.8,False
holisticgoals,Wellness Lifestyle,Lifestyle Combos,en,1078,4.0,False
sparoutine,Wellness Lifestyle,Lifestyle Combos,en,19746,3.5,False
spalifestyle,Wellness Lifestyle,Lifestyle Combos,en,189126,3.0,False
healthyliving,Wellness Lifestyle,Lifestyle Combos,en,42899,3.7,False
healthytips,Wellness Lifestyle,Lifestyle Combos,en,35582,3.9,False
wellnesslifestyle,Wellness Lifestyle,Lifestyle Combos,en,6090,4.0,False
spaliving,Wellness Lifestyle,Lifestyle Combos,en,3931,3.3,False
wellnessliving,Wellness Lifestyle,Lifestyle Combos,en,106520,3.0,False
holistictips,Wellness Lifestyle,Lifestyle Combos,en,186781,3.9,False
naturaltips,Wellness Lifestyle,Lifestyle Combos,en,24621,3.4,False
beautytips,Wellness Lifestyle,Lifestyle Combos,en,14427,3.0,False
naturalroutine,Wellness Lifestyle,Lifestyle Combos,en,399463,3.0,False
naturalgoals,Wellness Lifestyle,Lifestyle Combos,en,42940,3.2,False
healthygoals,Wellness Lifestyle,Lifestyle Combos,en,2208,3.5,False
healthyvibes,Wellness Lifestyle,Lifestyle Combos,en,11921,3.2,False
organicroutine,Wellness Lifestyle,Lifestyle Combos,en,16444,3.9,False
organicjourney,Wellness Lifestyle,Lifestyle Combos,en,42694,3.1,False
holisticjourney,Wellness Lifestyle,Lifestyle Combos,en,1711,3.1,False
healthyjourney,Wellness Lifestyle,Lifestyle Combos,en,48221,3.0,False
beautyliving,Wellness Lifestyle,Lifestyle Combos,en,1992,3.2,False
holisticlifestyle,Wellness Lifestyle,Lifestyle Combos,en,332268,3.4,False
naturaljourney,Wellness Lifestyle,Lifestyle Combos,en,42344,3.4,False
organicvibes,Wellness Lifestyle,Lifestyle Combos,en,1999,3.5,False
organiclife,Wellness Lifestyle,Lifestyle Combos,en,2561,3.2,False
organictips,Wellness Lifestyle,Lifestyle Combos,en,319162,3.9,False
beautyjourney,Wellness Lifestyle,Lifestyle Combos,en,437807,3.3,False
spajourney,Wellness Lifestyle,Lifestyle Combos,en,32152,3.7,False
holisticvibes,Wellness Lifestyle,Lifestyle Combos,en,44136,3.9,False
naturallifestyle,Wellness Lifestyle,Lifestyle Combos,en,4472,3.8,False
naturalvibes,Wellness Lifestyle,Lifestyle Combos,en,13071,3.0,False
naturalliving,Wellness Lifestyle,Lifestyle Combos,en,2835,3.7,False
beautylifestyle,Wellness Lifestyle,Lifestyle Combos,en,1429,3.4,False
naturallife,Wellness Lifestyle,Lifestyle Combos,en,1815,3.4,False
wellnessjourney,Wellness Lifestyle,Lifestyle Combos,en,38460,3.0,False
organicliving,Wellness Lifestyle,Lifestyle Combos,en,247252,3.7,False
spatips,Wellness Lifestyle,Lifestyle Combos,en,14640,4.0,False
wellnesstips,Wellness Lifestyle,Lifestyle Combos,en,14874,3.3,False
30daychallenge,Challenges,Time-Based,en,2993607,3.9,False
30daytransformation,Challenges,Time-Based,en,25964,3.3,False
30dayjourney,Challenges,Time-Based,en,3702524,3.7,False
30daydetox,Challenges,Time-Based,en,344350,3.9,False
30daycleanse,Challenges,Time-Based,en,218833,3.7,False
30dayyoga,Challenges,Time-Based,en,4999682,3.8,False
30daymeditation,Challenges,Time-Based,en,1617247,3.4,False
7daychallenge,Challenges,Time-Based,en,24543,3.8,False
7daytransformation,Challenges,Time-Based,en,1749994,3.7,False
7dayjourney,Challenges,Time-Based,en,32640,3.5,False
7daydetox,Challenges,Time-Based,en,3209620,3.6,False
7daycleanse,Challenges,Time-Based,en,19016,3.5,False
7dayyoga,Challenges,Time-Based,en,3129387,4.0,False
7daymeditation,Challenges,Time-Based,en,3791966,3.8,False
21daychallenge,Challenges,Time-Based,en,47843,3.6,False
21daytransformation,Challenges,Time-Based,en,254130,3.4,False
21dayjourney,Challenges,Time-Based,en,26260,3.7,False
21daydetox,Challenges,Time-Based,en,27919,4.0,False
21daycleanse,Challenges,Time-Based,en,449495,3.7,False
21dayyoga,Challenges,Time-Based,en,3420305,3.7,False
21daymeditation,Challenges,Time-Based,en,345235,3.4,False
100daychallenge,Challenges,Time-Based,en,283221,3.6,False
100daytransformation,Challenges,Time-Based,en,297383,3.5,False
100dayjourney,Challenges,Time-Based,en,111979,3.7,False
100daydetox,Challenges,Time-Based,en,44128,3.7,False
100daycleanse,Challenges,Time-Based,en,156006,3.5,False
100dayyoga,Challenges,Time-Based,en,220989,3.9,False
100daymeditation,Challenges,Time-Based,en,184152,3.4,False
365daychallenge,Challenges,Time-Based,en,813062,3.9,False
365daytransformation,Challenges,Time-Based,en,341705,3.6,False
365dayjourney,Challenges,Time-Based,en,1619180,3.5,False
365daydetox,Challenges,Time-Based,en,299704,3.6,False
365daycleanse,Challenges,Time-Based,en,17086,3.9,False
365dayyoga,Challenges,Time-Based,en,9879,3.6,False
365daymeditation,Challenges,Time-Based,en,2761928,3.4,False
healthyskin,Wellness Lifestyle,Lifestyle,en,18374,3.3,False
healthybody,Wellness Lifestyle,Lifestyle,en,35160,4.0,False
healthymind,Wellness Lifestyle,Lifestyle,en,24521,4.2,False
naturalskin,Wellness Lifestyle,Lifestyle,en,44218,3.4,False
naturalbody,Wellness Lifestyle,Lifestyle,en,389030,4.0,False
naturalmind,Wellness Lifestyle,Lifestyle,en,12889,3.5,False
organicskin,Wellness Lifestyle,Lifestyle,en,345093,3.2,False
organicbody,Wellness Lifestyle,Lifestyle,en,4959,3.5,False
organicmind,Wellness Lifestyle,Lifestyle,en,496852,3.5,False
cleanskin,Wellness Lifestyle,Lifestyle,en,28496,3.9,False
cleanbody,Wellness Lifestyle,Lifestyle,en,473504,3.3,False
cleanmind,Wellness Lifestyle,Lifestyle,en,392930,3.2,False
cleanlife,Wellness Lifestyle,Lifestyle,en,30751,3.6,False
cleanliving,Wellness Lifestyle,Lifestyle,en,490945,3.2,False
pureskin,Wellness Lifestyle,Lifestyle,en,102457,3.5,False
purebody,Wellness Lifestyle,Lifestyle,en,4587,4.1,False
puremind,Wellness Lifestyle,Lifestyle,en,41431,3.8,False
purelife,Wellness Lifestyle,Lifestyle,en,96118,3.3,False
pureliving,Wellness Lifestyle,Lifestyle,en,466126,3.5,False
greenskin,Wellness Lifestyle,Lifestyle,en,31554,3.9,False
greenbody,Wellness Lifestyle,Lifestyle,en,297810,4.1,False
greenmind,Wellness Lifestyle,Lifestyle,en,1651,3.3,False
greenlife,Wellness Lifestyle,Lifestyle,en,3187,4.0,False
greenliving,Wellness Lifestyle,Lifestyle,en,1411,3.3,False
ecoskin,Wellness Lifestyle,Lifestyle,en,220123,3.7,False
ecobody,Wellness Lifestyle,Lifestyle,en,2694,3.6,False
ecomind,Wellness Lifestyle,Lifestyle,en,386336,4.1,False
ecolife,Wellness Lifestyle,Lifestyle,en,41146,3.8,False
ecoliving,Wellness Lifestyle,Lifestyle,en,24603,3.6,False
sustainableskin,Wellness Lifestyle,Lifestyle,en,6786,4.2,False
sustainablebody,Wellness Lifestyle,Lifestyle,en,33145,3.8,False
sustainablemind,Wellness Lifestyle,Lifestyle,en,1696,4.1,False
sustainablelife,Wellness Lifestyle,Lifestyle,en,779,3.3,False
sustainableliving,Wellness Lifestyle,Lifestyle,en,26605,3.6,False
holisticskin,Wellness Lifestyle,Lifestyle,en,356420,3.3,False
holisticbody,Wellness Lifestyle,Lifestyle,en,356529,3.8,False
holisticmind,Wellness Lifestyle,Lifestyle,en,2234,3.2,False
mindfulskin,Wellness Lifestyle,Lifestyle,en,89815,4.1,False
mindfulbody,Wellness Lifestyle,Lifestyle,en,3419,3.7,False
mindfulmind,Wellness Lifestyle,Lifestyle,en,27686,3.3,False
mindfullife,Wellness Lifestyle,Lifestyle,en,555,3.3,False
consciousskin,Wellness Lifestyle,Lifestyle,en,34697,4.0,False
consciousbody,Wellness Lifestyle,Lifestyle,en,3584,4.2,False
consciousmind,Wellness Lifestyle,Lifestyle,en,481171,4.1,False
consciouslife,Wellness Lifestyle,Lifestyle,en,9842,4.1,False
radiantskin,Wellness Lifestyle,Lifestyle,en,440567,3.9,False
radiantbody,Wellness Lifestyle,Lifestyle,en,29346,3.9,False
radiantmind,Wellness Lifestyle,Lifestyle,en,99314,3.7,False
radiantlife,Wellness Lifestyle,Lifestyle,en,4035,3.9,False
radiantliving,Wellness Lifestyle,Lifestyle,en,130317,3.6,False
glowingskin,Wellness Lifestyle,Lifestyle,en,12617,3.3,False
glowingbody,Wellness Lifestyle,Lifestyle,en,377163,4.0,False
glowingmind,Wellness Lifestyle,Lifestyle,en,309601,3.5,False
glowinglife,Wellness Lifestyle,Lifestyle,en,2077,3.7,False
glowingliving,Wellness Lifestyle,Lifestyle,en,21138,3.7,False
youthfulskin,Wellness Lifestyle,Lifestyle,en,359036,3.7,False
youthfulbody,Wellness Lifestyle,Lifestyle,en,2012,3.3,False
youthfulmind,Wellness Lifestyle,Lifestyle,en,35249,3.7,False
youthfullife,Wellness Lifestyle,Lifestyle,en,27142,3.2,False
youthfulliving,Wellness Lifestyle,Lifestyle,en,78052,4.1,False
balancedskin,Wellness Lifestyle,Lifestyle,en,112565,3.6,False
balancedbody,Wellness Lifestyle,Lifestyle,en,16645,3.4,False
balancedmind,Wellness Lifestyle,Lifestyle,en,3069,3.8,False
balancedlife,Wellness Lifestyle,Lifestyle,en,174162,3.9,False
balancedliving,Wellness Lifestyle,Lifestyle,en,2845,3.8,False
loveyourself,Motivational,Wellness Motivation,en,597,3.5,False
lovedaily,Motivational,Wellness Motivation,en,21351,3.4,False
lovenaturally,Motivational,Wellness Motivation,en,16324,3.1,False
chooseyourself,Motivational,Wellness Motivation,en,14006,3.6,False
choosedaily,Motivational,Wellness Motivation,en,44340,3.2,False
choosenaturally,Motivational,Wellness Motivation,en,30295,3.7,False
embraceyourself,Motivational,Wellness Motivation,en,32411,3.0,False
embracedaily,Motivational,Wellness Motivation,en,1652,3.4,False
embracenaturally,Motivational,Wellness Motivation,en,1646,3.0,False
nourishyourself,Motivational,Wellness Motivation,en,3293,3.1,False
nourishdaily,Motivational,Wellness Motivation,en,968,3.7,False
nourishnaturally,Motivational,Wellness Motivation,en,2889,3.5,False
healyourself,Motivational,Wellness Motivation,en,4712,3.0,False
healdaily,Motivational,Wellness Motivation,en,3281,3.2,False
healnaturally,Motivational,Wellness Motivation,en,511,3.1,False
cleanseyourself,Motivational,Wellness Motivation,en,48995,3.5,False
cleansedaily,Motivational,Wellness Motivation,en,11788,3.4,False
cleansenaturally,Motivational,Wellness Motivation,en,31330,3.6,False
detoxyourself,Motivational,Wellness Motivation,en,957,3.0,False
detoxdaily,Motivational,Wellness Motivation,en,1284,3.3,False
detoxnaturally,Motivational,Wellness Motivation,en,9673,3.0,False
glowyourself,Motivational,Wellness Motivation,en,3041,3.1,False
glowdaily,Motivational,Wellness Motivation,en,45875,3.1,False
glownaturally,Motivational,Wellness Motivation,en,3542,3.4,False
shineyourself,Motivational,Wellness Motivation,en,3737,3.2,False
shinedaily,Motivational,Wellness Motivation,en,4849,3.1,False
shinenaturally,Motivational,Wellness Motivation,en,34939,3.0,False
bloomyourself,Motivational,Wellness Motivation,en,532,3.3,False
bloomdaily,Motivational,Wellness Motivation,en,4312,3.6,False
bloomnaturally,Motivational,Wellness Motivation,en,16427,3.1,False
thriveyourself,Motivational,Wellness Motivation,en,2719,3.5,False
thrivedaily,Motivational,Wellness Motivation,en,2787,3.5,False
thrivenaturally,Motivational,Wellness Motivation,en,41092,3.3,False
balanceyourself,Motivational,Wellness Motivation,en,39757,3.2,False
balancedaily,Motivational,Wellness Motivation,en,22582,3.2,False
balancenaturally,Motivational,Wellness Motivation,en,1813,3.7,False
restoreyourself,Motivational,Wellness Motivation,en,3221,3.2,False
restoredaily,Motivational,Wellness Motivation,en,3756,3.1,False
restorenaturally,Motivational,Wellness Motivation,en,4217,3.4,False
renewyourself,Motivational,Wellness Motivation,en,28535,3.6,False
renewdaily,Motivational,Wellness Motivation,en,31899,3.0,False
renewnaturally,Motivational,Wellness Motivation,en,10759,3.4,False
reviveyourself,Motivational,Wellness Motivation,en,2771,3.2,False
revivedaily,Motivational,Wellness Motivation,en,34763,3.5,False
revivenaturally,Motivational,Wellness Motivation,en,45293,3.5,False
goodthoughts,Micro Hashtags,Niche,en,42,3.5,False
ineedskincare,Micro Hashtags,Niche,en,496,3.4,False
ineedyoga,Micro Hashtags,Niche,en,197,3.2,False
greenskincare,Micro Hashtags,Niche,en,1875,3.2,False
healingthoughts,Micro Hashtags,Niche,en,3152,3.7,False
positivethoughts,Micro Hashtags,Niche,en,3434,3.4,False
healingenergy,Micro Hashtags,Niche,en,1325,3.5,False
spaathome,Micro Hashtags,Niche,en,758,3.1,False
cleanskincare,Micro Hashtags,Niche,en,184,2.9,False
wellnesscaresunday,Micro Hashtags,Niche,en,3242,3.1,False
healingvibes,Micro Hashtags,Niche,en,4853,3.7,False
skinjourneysunday,Micro Hashtags,Niche,en,2567,3.3,False
meditationlover,Micro Hashtags,Niche,en,393,3.4,False
ineedmassage,Micro Hashtags,Niche,en,3769,2.8,False
goodenergy,Micro Hashtags,Niche,en,3211,3.7,False
yogaathome,Micro Hashtags,Niche,en,248,3.5,False
wellnesslovesunday,Micro Hashtags,Niche,en,3982,3.4,False
cleanproducts,Micro Hashtags,Niche,en,46,2.9,False
iloveskincare,Micro Hashtags,Niche,en,453,3.6,False
greenbeauty,Micro Hashtags,Niche,en,332,3.0,False
wellnessjourneysunday,Micro Hashtags,Niche,en,1828,3.2,False
yogalover,Micro Hashtags,Niche,en,364,3.1,False
beautycaresunday,Micro Hashtags,Niche,en,167,3.2,False
greenproducts,Micro Hashtags,Niche,en,1468,3.2,False
selflovesunday,Micro Hashtags,Niche,en,435,3.7,False
positiveenergy,Micro Hashtags,Niche,en,2592,3.5,False
ineedspa,Micro Hashtags,Niche,en,351,3.4,False
yogaaddict,Micro Hashtags,Niche,en,4787,3.5,False
skinlovesunday,Micro Hashtags,Niche,en,1344,3.8,False
beautygoalssunday,Micro Hashtags,Niche,en,3680,3.4,False
positivevibes,Micro Hashtags,Niche,en,2352,2.9,False
organicproducts,Micro Hashtags,Niche,en,4820,3.5,False
positivemood,Micro Hashtags,Niche,en,438,3.3,False
beautyjourneysunday,Micro Hashtags,Niche,en,885,3.8,False
ilovemassage,Micro Hashtags,Niche,en,3837,3.8,False
beautylovesunday,Micro Hashtags,Niche,en,3301,2.8,False
goodmood,Micro Hashtags,Niche,en,65,3.1,False
organicbeauty,Micro Hashtags,Niche,en,40,3.5,False
ilovespa,Micro Hashtags,Niche,en,477,3.0,False
naturalproducts,Micro Hashtags,Niche,en,470,3.6,False
selfgoalssunday,Micro Hashtags,Niche,en,433,3.1,False
cleanbeauty,Micro Hashtags,Niche,en,133,3.2,False
iloveyoga,Micro Hashtags,Niche,en,432,3.6,False
meditationdaily,Micro Hashtags,Niche,en,3554,3.4,False
selfjourneysunday,Micro Hashtags,Niche,en,3959,3.8,False
meditationathome,Micro Hashtags,Niche,en,53,3.2,False
wellnessgoalssunday,Micro Hashtags,Niche,en,2262,3.2,False
yogadaily,Micro Hashtags,Niche,en,4289,3.3,False
naturalbeauty,Micro Hashtags,Niche,en,103,3.0,False
healingmood,Micro Hashtags,Niche,en,3567,3.3,False
skincaresunday,Micro Hashtags,Niche,en,138,3.7,False
goodvibes,Micro Hashtags,Niche,en,1466,3.7,False
naturalskincare,Micro Hashtags,Niche,en,383,3.4,False
spadaily,Micro Hashtags,Niche,en,203,2.8,False
meditationaddict,Micro Hashtags,Niche,en,2352,3.5,False
skingoalssunday,Micro Hashtags,Niche,en,81,3.6,False
wellnessdaily,Micro Hashtags,Niche,en,3400,3.4,False
organicskincare,Micro Hashtags,Niche,en,333,3.5,False
wellnessathome,Micro Hashtags,Niche,en,49,2.8,False
spaowner,Professional,Industry,en,220,3.3,False
spaworld,Professional,Industry,en,4174,2.7,False
spapro,Professional,Industry,en,2881,2.5,False
spaindustry,Professional,Industry,en,4760,2.8,False
beautybusiness,Professional,Industry,en,4963,2.9,False
salonowner,Professional,Industry,en,2516,2.7,False
beautyentrepreneur,Professional,Industry,en,316,2.8,False
wellnessbusiness,Professional,Industry,en,296,3.2,False
beautyindustry,Professional,Industry,en,359,2.9,False
cosmeticsindustry,Professional,Industry,en,1828,2.6,False
beautymarketing,Professional,Industry,en,4831,2.6,False
spasoftware,Professional,Industry,en,1511,2.5,False
spausa,Location,USA,en,45962,2.7,False
wellnessusa,Location,USA,en,257,3.1,False
beautyusa,Location,USA,en,1145,3.2,False
yogausa,Location,USA,en,12810,3.5,False
massageusa,Location,USA,en,479,3.2,False
spauk,Location,UK,en,1303,2.8,False
wellnessuk,Location,UK,en,3181,3.3,False
beautyuk,Location,UK,en,206,3.5,False
yogauk,Location,UK,en,3130,2.8,False
massageuk,Location,UK,en,4736,2.8,False
spafrance,Location,FRANCE,en,854,3.1,False
wellnessfrance,Location,FRANCE,en,24742,3.1,False
beautyfrance,Location,FRANCE,en,17105,3.2,False
yogafrance,Location,FRANCE,en,398,3.2,False
massagefrance,Location,FRANCE,en,19444,3.4,False
spagermany,Location,GERMANY,en,227,3.4,False
wellnessgermany,Location,GERMANY,en,3320,2.8,False
beautygermany,Location,GERMANY,en,2568,3.3,False
yogagermany,Location,GERMANY,en,1545,2.9,False
massagegermany,Location,GERMANY,en,1865,2.7,False
spaspain,Location,SPAIN,en,391,3.4,False
wellnessspain,Location,SPAIN,en,4754,3.3,False
beautyspain,Location,SPAIN,en,450,3.3,False
yogaspain,Location,SPAIN,en,3166,2.8,False
massagespain,Location,SPAIN,en,235,3.0,False
spaitaly,Location,ITALY,en,632,3.5,False
wellnessitaly,Location,ITALY,en,3703,3.0,False
beautyitaly,Location,ITALY,en,264,3.4,False
yogaitaly,Location,ITALY,en,24,2.9,False
massageitaly,Location,ITALY,en,15,2.9,False
spaaustralia,Location,AUSTRALIA,en,468,3.3,False
wellnessaustralia,Location,AUSTRALIA,en,4324,2.8,False
beautyaustralia,Location,AUSTRALIA,en,2017,3.2,False
yogaaustralia,Location,AUSTRALIA,en,855,3.5,False
massageaustralia,Location,AUSTRALIA,en,4032,3.4,False
spacanada,Location,CANADA,en,488,3.1,False
wellnesscanada,Location,CANADA,en,195,2.8,False
beautycanada,Location,CANADA,en,161,2.8,False
yogacanada,Location,CANADA,en,228,3.0,False
massagecanada,Location,CANADA,en,30153,2.9,False
spauae,Location,UAE,en,49491,3.2,False
wellnessuae,Location,UAE,en,211,3.0,False
beautyuae,Location,UAE,en,2246,3.4,False
yogauae,Location,UAE,en,2798,3.4,False
massageuae,Location,UAE,en,251,3.3,False
spajapan,Location,JAPAN,en,2761,2.7,False
wellnessjapan,Location,JAPAN,en,311,3.4,False
beautyjapan,Location,JAPAN,en,23,3.2,False
yogajapan,Location,JAPAN,en,1956,3.4,False
massagejapan,Location,JAPAN,en,20,3.1,False
spakorea,Location,KOREA,en,25025,3.5,False
wellnesskorea,Location,KOREA,en,44761,3.5,False
beautykorea,Location,KOREA,en,4326,3.2,False
yogakorea,Location,KOREA,en,2546,2.9,False
massagekorea,Location,KOREA,en,73,3.1,False
spabrazil,Location,BRAZIL,en,23337,3.5,False
wellnessbrazil,Location,BRAZIL,en,463,2.8,False
beautybrazil,Location,BRAZIL,en,4085,2.9,False
yogabrazil,Location,BRAZIL,en,99,2.7,False
massagebrazil,Location,BRAZIL,en,2633,2.8,False
spamexico,Location,MEXICO,en,43785,3.0,False
wellnessmexico,Location,MEXICO,en,265,3.2,False
beautymexico,Location,MEXICO,en,168,3.5,False
yogamexico,Location,MEXICO,en,3490,3.4,False
massagemexico,Location,MEXICO,en,315,3.3,False
springskincare,Seasonal,Seasons,en,1390,3.7,False
springwellness,Seasonal,Seasons,en,22608,3.3,False
springselfcare,Seasonal,Seasons,en,2267,3.4,False
springspa,Seasonal,Seasons,en,2267,3.0,False
summerskincare,Seasonal,Seasons,en,2533,3.2,False
summerwellness,Seasonal,Seasons,en,502,3.2,False
summerselfcare,Seasonal,Seasons,en,5030,3.4,False
summerspa,Seasonal,Seasons,en,22552,3.1,False
fallskincare,Seasonal,Seasons,en,2431,3.2,False
fallwellness,Seasonal,Seasons,en,1091,3.2,False
fallselfcare,Seasonal,Seasons,en,36859,3.4,False
fallspa,Seasonal,Seasons,en,523,3.1,False
winterskincare,Seasonal,Seasons,en,6458,3.3,False
winterwellness,Seasonal,Seasons,en,27926,3.2,False
winterselfcare,Seasonal,Seasons,en,1301,3.0,False
winterspa,Seasonal,Seasons,en,46231,3.3,False
autumnskincare,Seasonal,Seasons,en,23785,3.0,False
autumnwellness,Seasonal,Seasons,en,43456,3.5,False
autumnselfcare,Seasonal,Seasons,en,43258,3.1,False
autumnspa,Seasonal,Seasons,en,2903,3.6,False
januarywellness,Seasonal,Monthly,en,453,3.5,False
januaryselfcare,Seasonal,Monthly,en,4810,3.3,False
januarygoals,Seasonal,Monthly,en,922,3.5,False
februarywellness,Seasonal,Monthly,en,392,3.1,False
februaryselfcare,Seasonal,Monthly,en,484,3.3,False
februarygoals,Seasonal,Monthly,en,3271,3.5,False
marchwellness,Seasonal,Monthly,en,3035,3.1,False
marchselfcare,Seasonal,Monthly,en,66,3.5,False
marchgoals,Seasonal,Monthly,en,52,3.0,False
aprilwellness,Seasonal,Monthly,en,3178,3.1,False
aprilselfcare,Seasonal,Monthly,en,123,3.0,False
aprilgoals,Seasonal,Monthly,en,45,3.2,False
maywellness,Seasonal,Monthly,en,430,3.3,False
mayselfcare,Seasonal,Monthly,en,4440,3.2,False
maygoals,Seasonal,Monthly,en,2494,2.9,False
junewellness,Seasonal,Monthly,en,511,3.2,False
juneselfcare,Seasonal,Monthly,en,2625,3.2,False
junegoals,Seasonal,Monthly,en,180,3.0,False
julywellness,Seasonal,Monthly,en,4533,2.8,False
julyselfcare,Seasonal,Monthly,en,2166,3.4,False
julygoals,Seasonal,Monthly,en,416,3.4,False
augustwellness,Seasonal,Monthly,en,3977,3.1,False
augustselfcare,Seasonal,Monthly,en,21,3.2,False
augustgoals,Seasonal,Monthly,en,1798,2.9,False
septemberwellness,Seasonal,Monthly,en,260,3.3,False
septemberselfcare,Seasonal,Monthly,en,2816,3.5,False
septembergoals,Seasonal,Monthly,en,190,3.3,False
octoberwellness,Seasonal,Monthly,en,1466,3.1,False
octoberselfcare,Seasonal,Monthly,en,140,2.9,False
octobergoals,Seasonal,Monthly,en,3200,3.4,False
novemberwellness,Seasonal,Monthly,en,49,3.4,False
novemberselfcare,Seasonal,Monthly,en,462,3.3,False
novembergoals,Seasonal,Monthly,en,4866,3.2,False
decemberwellness,Seasonal,Monthly,en,330,3.2,False
decemberselfcare,Seasonal,Monthly,en,2149,3.2,False
decembergoals,Seasonal,Monthly,en,471,2.9,False
relax,Emotional Wellness,Emotions,en,7860,3.4,False
relaxmood,Emotional Wellness,Emotions,en,26506,3.7,False
relaxvibes,Emotional Wellness,Emotions,en,31247,3.7,False
calm,Emotional Wellness,Emotions,en,27330,3.6,False
calmmood,Emotional Wellness,Emotions,en,100088,3.9,False
calmvibes,Emotional Wellness,Emotions,en,36819,3.7,False
peace,Emotional Wellness,Emotions,en,38976,3.4,False
peacemood,Emotional Wellness,Emotions,en,237650,3.4,False
peacevibes,Emotional Wellness,Emotions,en,2784,3.8,False
tranquil,Emotional Wellness,Emotions,en,187023,3.6,False
tranquilmood,Emotional Wellness,Emotions,en,4648,3.4,False
tranquilvibes,Emotional Wellness,Emotions,en,11201,4.0,False
serene,Emotional Wellness,Emotions,en,365037,3.5,False
serenemood,Emotional Wellness,Emotions,en,203273,3.8,False
serenevibes,Emotional Wellness,Emotions,en,3673,3.7,False
bliss,Emotional Wellness,Emotions,en,2389,3.2,False
blissmood,Emotional Wellness,Emotions,en,16782,3.3,False
blissvibes,Emotional Wellness,Emotions,en,30665,3.5,False
zen,Emotional Wellness,Emotions,en,21394,3.6,False
zenmood,Emotional Wellness,Emotions,en,3013,3.9,False
zenvibes,Emotional Wellness,Emotions,en,26139,3.4,False
happy,Emotional Wellness,Emotions,en,4576,3.3,False
happymood,Emotional Wellness,Emotions,en,346952,3.8,False
happyvibes,Emotional Wellness,Emotions,en,339808,3.3,False
grateful,Emotional Wellness,Emotions,en,37756,3.9,False
gratefulmood,Emotional Wellness,Emotions,en,1526,3.9,False
gratefulvibes,Emotional Wellness,Emotions,en,1762,3.4,False
blessed,Emotional Wellness,Emotions,en,235743,3.2,False
blessedmood,Emotional Wellness,Emotions,en,18976,3.3,False
blessedvibes,Emotional Wellness,Emotions,en,1864,3.6,False
mindful,Emotional Wellness,Emotions,en,2419,4.0,False
mindfulmood,Emotional Wellness,Emotions,en,43335,3.8,False
mindfulvibes,Emotional Wellness,Emotions,en,23618,3.3,False
present,Emotional Wellness,Emotions,en,20998,3.7,False
presentmood,Emotional Wellness,Emotions,en,493156,3.9,False
presentvibes,Emotional Wellness,Emotions,en,2722,3.7,False
grounded,Emotional Wellness,Emotions,en,188607,3.6,False
groundedmood,Emotional Wellness,Emotions,en,272502,3.4,False
groundedvibes,Emotional Wellness,Emotions,en,27841,3.4,False
thewellnessproject,Trending Formats,Instagram Trends,en,418,3.7,False
topmassage,Trending Formats,Instagram Trends,en,37648,3.8,False
topspa,Trending Formats,Instagram Trends,en,124,3.0,False
bestspa,Trending Formats,Instagram Trends,en,272,3.7,False
bestskincare,Trending Formats,Instagram Trends,en,4124,3.6,False
ourspajourney,Trending Formats,Instagram Trends,en,3866,2.9,False
spaideas,Trending Formats,Instagram Trends,en,324,3.5,False
mywellnessjourney,Trending Formats,Instagram Trends,en,4555,3.3,False
ouryogajourney,Trending Formats,Instagram Trends,en,47016,3.1,False
thespaproject,Trending Formats,Instagram Trends,en,369,3.5,False
myspajourney,Trending Formats,Instagram Trends,en,402,3.9,False
theglowproject,Trending Formats,Instagram Trends,en,158,2.9,False
dailyritual,Trending Formats,Instagram Trends,en,201,3.3,False
ourbeautyjourney,Trending Formats,Instagram Trends,en,39960,3.7,False
yourwellnessjourney,Trending Formats,Instagram Trends,en,443,3.6,False
myyogajourney,Trending Formats,Instagram Trends,en,312,3.8,False
weeklyselfcare,Trending Formats,Instagram Trends,en,412,3.7,False
favoritemassage,Trending Formats,Instagram Trends,en,177,3.8,False
thebeautyproject,Trending Formats,Instagram Trends,en,162,3.0,False
wellnessideas,Trending Formats,Instagram Trends,en,39016,3.4,False
beautyideas,Trending Formats,Instagram Trends,en,2778,3.6,False
weeklyroutine,Trending Formats,Instagram Trends,en,23810,3.3,False
weeklyritual,Trending Formats,Instagram Trends,en,2344,3.7,False
favoritespa,Trending Formats,Instagram Trends,en,11851,3.7,False
